# exact coordinates (udg.F repr), subset |x|<1.2074 of small5_r15; edges = all exact unit pairs
P(-15/32 + -1/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + -15/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/4 + 1/16*sqrt(5) + -5/48*sqrt(33), 5/48*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(55))
P(-1/32 + -1/32*sqrt(5) + -17/96*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/4 + -1/16*sqrt(5) + -5/48*sqrt(33), 19/48*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(55))
P(3/16 + -5/48*sqrt(33), 1/4*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-1/32 + 3/32*sqrt(5) + -1/32*sqrt(33) + -1/32*sqrt(165), 1/32*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/32 + -3/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), 15/32*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(3/16 + -1/16*sqrt(5) + 1/24*sqrt(33), 19/48*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(15) + 1/8*sqrt(55))
P(-1/4 + 1/24*sqrt(33), 1/4*sqrt(3) + -1/4*sqrt(11) + 1/8*sqrt(55))
P(3/16 + -1/16*sqrt(5) + -5/48*sqrt(33) + 1/16*sqrt(165), -5/48*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-1/32 + 1/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), -31/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-15/32 + -1/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), -17/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/4 + 1/16*sqrt(5) + -5/48*sqrt(33), -19/48*sqrt(3) + 1/4*sqrt(11) + 1/16*sqrt(55))
P(-15/32 + 1/32*sqrt(5) + -17/96*sqrt(33) + 1/32*sqrt(165), -31/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/32 + -1/32*sqrt(5) + -17/96*sqrt(33) + 1/32*sqrt(165), -17/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(3/16 + -5/48*sqrt(33), -1/4*sqrt(3) + 1/4*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-15/32 + 3/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), -15/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(3/16 + -1/4*sqrt(33) + 1/16*sqrt(165), -1/4*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(15))
P(-1/32 + -3/32*sqrt(5) + -1/32*sqrt(33) + 1/32*sqrt(165), -1/32*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/4 + -1/8*sqrt(5) + -5/48*sqrt(33) + 1/16*sqrt(165), 1/24*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(55))
P(-1/4 + -5/48*sqrt(33) + 1/16*sqrt(165), -1/4*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(55))
P(-7/4 + 1/4*sqrt(33), 7/12*sqrt(3) + -1/4*sqrt(11))
P(-41/32 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 55/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(11/16 + -1/16*sqrt(5) + -5/48*sqrt(33) + 1/16*sqrt(165), 19/48*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(1/32 + 1/32*sqrt(5) + -17/96*sqrt(33) + 1/32*sqrt(165), 17/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(15/32 + -1/32*sqrt(5) + -17/96*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/4 + -1/16*sqrt(5) + -1/4*sqrt(33) + 1/16*sqrt(165), 19/48*sqrt(3) + -3/16*sqrt(11))
P(1/4 + -5/48*sqrt(33) + 1/16*sqrt(165), 1/4*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(55))
P(-15/16 + 1/16*sqrt(5) + 7/48*sqrt(33) + 1/16*sqrt(165), -7/48*sqrt(3) + 1/16*sqrt(11) + -1/16*sqrt(15) + 1/16*sqrt(55))
P(-23/32 + 1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + 9/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-23/32 + -1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + 9/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-9/32 + 1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + 9/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/16 + 1/16*sqrt(165), 1/16*sqrt(11) + 1/16*sqrt(15))
P(-15/16 + 1/16*sqrt(165), 1/16*sqrt(11) + -1/16*sqrt(15))
P(-1/2 + -1/16*sqrt(5) + 1/16*sqrt(165), 7/48*sqrt(3) + 1/16*sqrt(11))
P(-1/2 + -7/48*sqrt(33) + 1/16*sqrt(165), 1/16*sqrt(11) + -1/16*sqrt(55))
P(-1/2 + 1/16*sqrt(5) + 1/16*sqrt(165), -7/48*sqrt(3) + 1/16*sqrt(11))
P(9/32 + 1/32*sqrt(5) + -7/32*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + 9/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(9/32 + -1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + 9/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(23/32 + 1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + 9/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(1/2 + -7/48*sqrt(33) + 1/16*sqrt(165), 1/16*sqrt(11) + -1/16*sqrt(55))
P(-11/16 + -1/16*sqrt(5) + 5/48*sqrt(33) + 1/16*sqrt(165), 19/48*sqrt(3) + -3/16*sqrt(11) + -1/16*sqrt(15) + -1/16*sqrt(55))
P(-15/32 + 1/32*sqrt(5) + 1/32*sqrt(33) + 1/32*sqrt(165), 17/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(-1/32 + -1/32*sqrt(5) + 1/32*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + -3/32*sqrt(55))
P(-15/32 + -1/32*sqrt(5) + 17/96*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/4 + -1/16*sqrt(5) + 5/48*sqrt(33), 19/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(-1/4 + 1/16*sqrt(5) + 5/48*sqrt(33), 5/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(-11/16 + 5/48*sqrt(33), 1/4*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(15) + -1/16*sqrt(55))
P(-1/32 + 3/32*sqrt(5) + 1/32*sqrt(33) + 1/32*sqrt(165), 1/32*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + -3/32*sqrt(55))
P(1/4 + -1/8*sqrt(5) + -1/24*sqrt(33), 1/24*sqrt(3) + 1/4*sqrt(11) + -1/8*sqrt(55))
P(1/4 + -1/16*sqrt(5) + 5/48*sqrt(33), -5/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(1/32 + 1/32*sqrt(5) + 17/96*sqrt(33) + -1/32*sqrt(165), -31/96*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/4 + 1/16*sqrt(5) + 5/48*sqrt(33), -19/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(15/32 + 1/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), -31/96*sqrt(3) + 15/32*sqrt(11) + 1/32*sqrt(15) + -3/32*sqrt(55))
P(-3/16 + 5/48*sqrt(33), -1/4*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(15) + -1/16*sqrt(55))
P(1/32 + -3/32*sqrt(5) + 1/32*sqrt(33) + 1/32*sqrt(165), -1/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(1/32 + -1/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), -17/96*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(1/4 + -1/8*sqrt(5) + -1/24*sqrt(33), 13/24*sqrt(3) + -1/4*sqrt(11) + -1/8*sqrt(55))
P(-3/16 + 1/16*sqrt(5) + 5/48*sqrt(33) + -1/16*sqrt(165), 5/48*sqrt(3) + 3/16*sqrt(11) + -1/16*sqrt(15) + -1/16*sqrt(55))
P(15/32 + -1/32*sqrt(5) + 17/96*sqrt(33) + -1/32*sqrt(165), 31/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(1/4 + -1/16*sqrt(5) + 5/48*sqrt(33), 19/48*sqrt(3) + -1/4*sqrt(11) + -1/16*sqrt(55))
P(1/32 + 1/32*sqrt(5) + 17/96*sqrt(33) + -1/32*sqrt(165), 17/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(15/32 + 1/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), 17/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + -3/32*sqrt(55))
P(1/32 + -3/32*sqrt(5) + 17/96*sqrt(33) + -1/32*sqrt(165), 15/32*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(15/32 + -3/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), 15/32*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + -3/32*sqrt(55))
P(1/32 + 3/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), 1/32*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(1/4 + 5/48*sqrt(33) + -1/16*sqrt(165), 1/4*sqrt(3) + 3/16*sqrt(11) + -1/16*sqrt(55))
P(1/32 + -1/32*sqrt(5) + 1/32*sqrt(33) + -1/32*sqrt(165), 31/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(85/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -25/96*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(43/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -25/96*sqrt(3) + -11/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(11/48 + -1/16*sqrt(165), -1/3*sqrt(3) + 5/48*sqrt(11) + -1/16*sqrt(15))
P(-43/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -13/32*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-85/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -25/96*sqrt(3) + -11/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-2/3 + -1/16*sqrt(5) + 7/48*sqrt(33), -3/16*sqrt(3) + -1/3*sqrt(11) + 1/16*sqrt(55))
P(-43/96 + -3/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -11/96*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-85/96 + -3/32*sqrt(5) + 7/32*sqrt(33) + -1/32*sqrt(165), -11/96*sqrt(3) + -11/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-43/96 + -1/32*sqrt(5) + 7/32*sqrt(33) + -1/32*sqrt(165), -25/96*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-59/96 + 1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), -23/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-101/96 + -1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-59/96 + -1/32*sqrt(5) + -3/32*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-59/96 + -3/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), 5/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-5/6 + 1/8*sqrt(33), -1/6*sqrt(3) + 1/6*sqrt(11) + 1/8*sqrt(55))
P(5/96 + -1/32*sqrt(5) + -3/32*sqrt(33) + 1/32*sqrt(165), 55/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/6 + 1/16*sqrt(5) + 1/48*sqrt(33), 17/48*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(5/6 + -1/16*sqrt(5) + 1/48*sqrt(33), -1/48*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(133/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -3/32*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(91/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -3/32*sqrt(3) + -11/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-7/6 + -1/8*sqrt(5) + 7/24*sqrt(33), 1/8*sqrt(3) + -1/3*sqrt(11) + 1/8*sqrt(55))
P(-91/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -23/96*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-7/6 + -1/16*sqrt(5) + 7/48*sqrt(33), -1/48*sqrt(3) + -1/3*sqrt(11) + 1/16*sqrt(55))
P(-91/96 + -1/32*sqrt(5) + 7/32*sqrt(33) + -1/32*sqrt(165), -3/32*sqrt(3) + -11/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-5/6 + -1/8*sqrt(5) + 1/8*sqrt(33), -5/24*sqrt(3) + 1/6*sqrt(11) + 1/8*sqrt(55))
P(-59/96 + 1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), -55/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-101/96 + -1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), -41/96*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-59/96 + -1/32*sqrt(5) + -3/32*sqrt(33) + 1/32*sqrt(165), -41/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-5/6 + -1/16*sqrt(5) + -1/48*sqrt(33), -17/48*sqrt(3) + 1/6*sqrt(11) + 1/16*sqrt(55))
P(-59/96 + -3/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), -9/32*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-53/96 + -1/32*sqrt(5) + 3/32*sqrt(33) + 1/32*sqrt(165), 71/96*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(101/96 + -1/32*sqrt(5) + 3/32*sqrt(33) + -1/32*sqrt(165), -41/96*sqrt(3) + 37/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(5/6 + -1/16*sqrt(5) + 1/48*sqrt(33), -17/48*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(59/96 + -1/32*sqrt(5) + -5/96*sqrt(33) + -1/32*sqrt(165), -41/96*sqrt(3) + 37/96*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(-13/16 + -1/16*sqrt(5) + 1/16*sqrt(33) + 1/16*sqrt(165), 1/16*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-33/32 + 1/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), -5/32*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-47/32 + -1/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), -1/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-33/32 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -1/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-33/32 + -3/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), 13/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-5/4 + -1/16*sqrt(5) + -1/12*sqrt(33) + 1/16*sqrt(165), 1/16*sqrt(3) + -3/16*sqrt(11))
P(-5/4 + 1/16*sqrt(33) + 1/16*sqrt(165), -1/12*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(55))
P(5/4 + -1/16*sqrt(5) + -1/16*sqrt(33), 1/16*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(5/4 + 1/16*sqrt(5) + -1/16*sqrt(33), -11/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(33/32 + -1/32*sqrt(5) + -13/96*sqrt(33) + -1/32*sqrt(165), -1/96*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(-3/16 + -1/16*sqrt(5) + 11/48*sqrt(33) + -1/16*sqrt(165), -7/16*sqrt(3) + 3/16*sqrt(11) + -1/16*sqrt(15) + 1/16*sqrt(55))
P(1/4 + -1/16*sqrt(5) + 1/12*sqrt(33) + -1/16*sqrt(165), -7/16*sqrt(3) + 3/16*sqrt(11))
P(15/32 + -1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), -49/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(1/32 + -1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -49/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(15/32 + -3/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -35/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/32 + -3/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), -35/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/32 + -3/32*sqrt(5) + 29/96*sqrt(33) + -1/32*sqrt(165), -35/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(11/16 + 1/12*sqrt(33) + -1/16*sqrt(165), -7/12*sqrt(3) + 3/16*sqrt(11) + 1/16*sqrt(15))
P(3/16 + 1/16*sqrt(5) + 1/16*sqrt(33) + -1/16*sqrt(165), -35/48*sqrt(3) + 3/16*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-1/4 + -1/8*sqrt(5) + 5/24*sqrt(33), -7/24*sqrt(3) + -1/4*sqrt(11) + 1/8*sqrt(55))
P(-1/32 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -21/32*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/4 + -1/16*sqrt(5) + 1/16*sqrt(33), -7/16*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(55))
P(-1/32 + -3/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -35/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-15/32 + -3/32*sqrt(5) + 13/96*sqrt(33) + -1/32*sqrt(165), -35/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/32 + -1/32*sqrt(5) + 13/96*sqrt(33) + -1/32*sqrt(165), -49/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-15/32 + 1/32*sqrt(5) + 13/96*sqrt(33) + -1/32*sqrt(165), -21/32*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-1/4 + 1/16*sqrt(33) + -1/16*sqrt(165), -7/12*sqrt(3) + 3/16*sqrt(11) + 1/16*sqrt(55))
P(-9/16 + -1/16*sqrt(5) + -1/48*sqrt(33) + 1/16*sqrt(165), 5/16*sqrt(3) + -7/16*sqrt(11) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-25/32 + 1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), 3/32*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-39/32 + -1/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), 23/96*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-1 + 1/16*sqrt(5) + -1/48*sqrt(33), 1/48*sqrt(3) + 1/16*sqrt(55))
P(-25/32 + -1/32*sqrt(5) + -3/32*sqrt(33) + 1/32*sqrt(165), 23/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-9/16 + -1/48*sqrt(33), 1/6*sqrt(3) + 1/16*sqrt(15) + 1/16*sqrt(55))
P(-25/32 + -3/32*sqrt(5) + 5/96*sqrt(33) + 1/32*sqrt(165), 37/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 3/32*sqrt(55))
P(-31/32 + 1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), 11/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-17/32 + 1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), 11/32*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-5/16 + -1/12*sqrt(33) + 1/16*sqrt(165), 5/12*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(15))
P(-3/4 + -1/16*sqrt(5) + -1/12*sqrt(33) + 1/16*sqrt(165), 9/16*sqrt(3) + -3/16*sqrt(11))
P(-3/4 + 1/16*sqrt(5) + -1/12*sqrt(33) + 1/16*sqrt(165), 13/48*sqrt(3) + -3/16*sqrt(11))
P(-3/4 + 1/16*sqrt(33) + 1/16*sqrt(165), 5/12*sqrt(3) + -3/16*sqrt(11) + 1/16*sqrt(55))
P(17/32 + -1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), 47/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(3/4 + 1/16*sqrt(5) + -1/16*sqrt(33), 13/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(1 + -1/16*sqrt(5) + 1/48*sqrt(33), 5/16*sqrt(3) + -1/16*sqrt(55))
P(25/32 + 1/32*sqrt(5) + 3/32*sqrt(33) + -1/32*sqrt(165), 3/32*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(9/16 + 1/48*sqrt(33), 1/6*sqrt(3) + -1/16*sqrt(15) + -1/16*sqrt(55))
P(25/32 + -1/32*sqrt(5) + -5/96*sqrt(33) + -1/32*sqrt(165), 23/96*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + -3/32*sqrt(55))
P(-5/4 + 1/4*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(-5/3 + 1/3*sqrt(33), -1/6*sqrt(3) + 1/6*sqrt(11))
P(-1 + 1/6*sqrt(33), -1/2*sqrt(3) + 1/3*sqrt(11))
P(-19/12 + 1/4*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11))
P(-19/12 + 1/4*sqrt(33), -1/12*sqrt(3) + 1/4*sqrt(11))
P(-85/96 + -1/32*sqrt(5) + 3/32*sqrt(33) + 1/32*sqrt(165), -25/96*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-85/96 + -1/32*sqrt(5) + 23/96*sqrt(33) + -1/32*sqrt(165), -25/96*sqrt(3) + 37/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-85/96 + 1/32*sqrt(5) + 3/32*sqrt(33) + -1/32*sqrt(165), -13/32*sqrt(3) + 37/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-2/3 + 1/16*sqrt(5) + 1/48*sqrt(33), -23/48*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(-43/96 + 1/32*sqrt(5) + 3/32*sqrt(33) + 1/32*sqrt(165), -13/32*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-2/3 + -1/16*sqrt(5) + 5/16*sqrt(33), -3/16*sqrt(3) + 1/6*sqrt(11) + 1/16*sqrt(55))
P(-53/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 7/96*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-11/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/3 + -1/16*sqrt(5) + 7/48*sqrt(33), 7/48*sqrt(3) + 1/16*sqrt(55))
P(-4/3 + 1/3*sqrt(33), 2/3*sqrt(3) + -1/3*sqrt(11))
P(-5/4 + 1/4*sqrt(33), 13/12*sqrt(3) + -1/4*sqrt(11))
P(-83/96 + -1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), 21/32*sqrt(3) + -29/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
